map27  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map22  	  91  	  96  	  93.6666666666667      	  71.09375         	  75.0             	  73.1770833333333    
map27  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map29  	  105  	  120  	  112.0                 	  82.03125         	  93.75            	  87.5                
map27  	  map30  	  117  	  128  	  123.666666666667      	  89.84375         	  97.65625         	  94.53125            
map27  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map27  	  map34  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map27  	  map37  	  113  	  118  	  116.0                 	  88.28125         	  92.1875          	  90.625              
map27  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map28  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map28  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
